iter	Passed	Remaining
0	125	37661
1	253	37736
2	385	38209
3	516	38254
4	644	38026
5	771	37825
6	900	37709
7	957	34942
8	1079	34908
9	1204	34930
10	1331	34975
11	1467	35210
12	1596	35238
13	1721	35166
14	1848	35115
15	1971	34991
16	2098	34929
17	2221	34804
18	2348	34730
19	2472	34614
20	2602	34573
21	2729	34491
22	2852	34357
23	2976	34232
24	3099	34095
25	3227	34010
26	3345	33831
27	3473	33747
28	3598	33628
29	3727	33550
30	3852	33429
31	3974	33286
32	4102	33196
33	4238	33159
34	4362	33031
35	4488	32918
36	4618	32828
37	4746	32726
38	4873	32615
39	4999	32498
40	5125	32376
41	5258	32300
42	5384	32182
43	5511	32064
44	5636	31937
45	5765	31838
46	5892	31718
47	6016	31585
48	6143	31471
49	6269	31347
50	6396	31228
51	6526	31125
52	6655	31016
53	6795	30956
54	6920	30828
55	7046	30700
56	7170	30567
57	7295	30440
58	7419	30306
59	7547	30189
60	7673	30066
61	7797	29932
62	7930	29833
63	8056	29709
64	8184	29589
65	8314	29480
66	8444	29366
67	8566	29225
68	8694	29108
69	8822	28989
70	8949	28864
71	9076	28741
72	9204	28621
73	9333	28504
74	9461	28384
75	9592	28273
76	9720	28152
77	9848	28029
78	9973	27900
79	10101	27777
80	10226	27648
81	10353	27524
82	10480	27399
83	10610	27284
84	10738	27162
85	10870	27048
86	10994	26918
87	11120	26790
88	11246	26662
89	11372	26535
90	11498	26407
91	11625	26283
92	11756	26167
93	11885	26047
94	12015	25928
95	12146	25812
96	12274	25687
97	12399	25558
98	12529	25438
99	12654	25309
100	12782	25184
101	12910	25061
102	13039	24939
103	13164	24809
104	13291	24684
105	13416	24554
106	13545	24432
107	13672	24307
108	13798	24179
109	13923	24049
110	14048	23920
111	14175	23794
112	14303	23670
113	14429	23542
114	14555	23415
115	14683	23291
116	14812	23168
117	14942	23046
118	15069	22921
119	15197	22796
120	15323	22668
121	15448	22540
122	15574	22412
123	15707	22295
124	15834	22168
125	15961	22041
126	16084	21910
127	16214	21788
128	16343	21664
129	16472	21540
130	16600	21416
131	16728	21290
132	16855	21164
133	16985	21041
134	17112	20915
135	17244	20794
136	17369	20666
137	17497	20541
138	17631	20422
139	17761	20298
140	17886	20170
141	18011	20041
142	18140	19916
143	18263	19785
144	18391	19659
145	18519	19534
146	18645	19406
147	18772	19279
148	18899	19153
149	19027	19027
150	19155	18901
151	19280	18773
152	19408	18647
153	19538	18523
154	19670	18401
155	19797	18274
156	19923	18147
157	20047	18017
158	20177	17893
159	20304	17766
160	20432	17640
161	20563	17516
162	20690	17390
163	20817	17263
164	20951	17142
165	21078	17015
166	21206	16889
167	21333	16761
168	21462	16636
169	21591	16511
170	21720	16385
171	21847	16258
172	21976	16133
173	22107	16008
174	22235	15882
175	22364	15756
176	22497	15633
177	22629	15510
178	22763	15387
179	22890	15260
180	23018	15133
181	23148	15008
182	23274	14880
183	23401	14753
184	23530	14627
185	23658	14500
186	23786	14373
187	23913	14246
188	24042	14120
189	24171	13994
190	24297	13866
191	24424	13738
192	24552	13611
193	24682	13486
194	24811	13360
195	24940	13233
196	25063	13104
197	25189	12976
198	25317	12849
199	25444	12722
200	25573	12596
201	25700	12468
202	25826	12340
203	25957	12215
204	26085	12088
205	26212	11961
206	26341	11834
207	26469	11707
208	26598	11580
209	26724	11453
210	26852	11326
211	26979	11199
212	27104	11070
213	27234	10944
214	27365	10818
215	27500	10694
216	27631	10568
217	27759	10441
218	27890	10315
219	28023	10190
220	28154	10064
221	28282	9937
222	28413	9810
223	28540	9683
224	28669	9556
225	28799	9429
226	28930	9303
227	29060	9176
228	29190	9050
229	29318	8923
230	29458	8799
231	29584	8671
232	29712	8543
233	29848	8418
234	29976	8291
235	30106	8164
236	30234	8036
237	30364	7909
238	30491	7782
239	30622	7655
240	30751	7528
241	30881	7401
242	31009	7273
243	31133	7145
244	31258	7017
245	31388	6890
246	31513	6762
247	31642	6634
248	31768	6506
249	31899	6379
250	32027	6252
251	32153	6124
252	32280	5996
253	32405	5868
254	32536	5741
255	32667	5614
256	32797	5487
257	32924	5359
258	33053	5232
259	33177	5104
260	33305	4976
261	33434	4849
262	33561	4721
263	33687	4593
264	33813	4465
265	33943	4338
266	34069	4210
267	34194	4082
268	34325	3955
269	34459	3828
270	34584	3700
271	34711	3573
272	34838	3445
273	34966	3317
274	35093	3190
275	35221	3062
276	35349	2935
277	35476	2807
278	35599	2679
279	35726	2551
280	35855	2424
281	35978	2296
282	36105	2168
283	36232	2041
284	36357	1913
285	36492	1786
286	36620	1658
287	36749	1531
288	36880	1403
289	37005	1276
290	37132	1148
291	37257	1020
292	37385	893
293	37512	765
294	37637	637
295	37765	510
296	37892	382
297	38020	255
298	38144	127
299	38268	0
