('A2M', 0.9233622198964482)
('ABCA3', 0.8636150301075731)
('ABCA8', 0.7726973995327112)
('ABCC3', 1.1071656467607576)
('ABI3BP', 0.8407565657858441)
('ABLIM3', 0.8962315225106408)
('ACADL', 0.7763157862867764)
('ACAP1', 1.0037417934507182)
('ACVRL1', 0.8687147882819569)
('ADAM12', 1.1895761856552065)
('ADAMTS8', 0.799222538807054)
('ADAMTSL3', 0.8502675781310968)
('ADCY4', 0.9178314259627635)
('ADIRF', 0.8225445094493583)
('ADRB1', 0.7493292412236975)
('ADRB2', 0.842730569559881)
('AFF3', 0.7821545895978589)
('AGTPBP1', 0.9095686384268863)
('AGTR1', 0.7825407649088593)
('AK2', 1.0567493274573492)
('ALDH18A1', 1.080629804889783)
('ANGPT1', 0.8446683483484733)
('ANGPTL1', 0.8296970844034816)
('ANKRD29', 0.799702234386824)
('ANLN', 1.3491024821536861)
('ANXA3', 0.8668362347412342)
('AOC3', 0.8475307690258641)
('AQP4', 0.7784751983989604)
('ARAP3', 0.9073369652886863)
('ARHGAP31', 0.8871962828876869)
('ARHGAP44', 0.8651845734352404)
('ARHGAP6', 0.8142596719374271)
('ARHGEF19', 1.0925350893360692)
('ARHGEF26', 0.8394885949809777)
('ARRB1', 0.8981224521741142)
('ASPA', 0.8133702952713733)
('ATAD2', 1.1600414875833716)
('ATP10B', 1.176627971618064)
('AUNIP', 1.149152273637995)
('B3GNT3', 1.113642669421538)
('BAIAP2L1', 1.1156834575549188)
('BCL11A', 1.1569526569837791)
('BRI3BP', 1.0871318261032006)
('BTNL9', 0.8027074242702513)
('BUB1B', 1.2561916842999608)
('C10orf54', 0.9171461888230807)
('C1orf106', 1.1261413690172417)
('C1orf162', 0.8892213416215822)
('CA4', 0.7938404074567149)
('CACNA2D2', 0.8422940903953741)
('CASK', 1.0639585248683616)
('CAV1', 0.8813717681047155)
('CAV2', 0.8803730658130775)
('CBX1', 1.0468955432099205)
('CCBE1', 0.8013880491197234)
('CCM2L', 0.8634196201113106)
('CCNB1', 1.2235634048495223)
('CD36', 0.7971528798111971)
('CD93', 0.8944111347649369)
('CDC20', 1.259349772121599)
('CDCA7', 1.2725477191178889)
('CDCA8', 1.1637732328502595)
