"clusterID","cluster","ids"
0,"ABI1, GRB2, FYN, BTK, ACAP1","10006, 2885, 2534, 695, 9744"
1,"ABI2, TLE5, LMO2, TRIP6, NCK2, POLR2A, FARS2, PRPF31, FAM161A, LMO4, EIF4E2, RHOA, LMO3, HAUS1, N4BP2L2, HJURP, DRAP1, ADAMTSL4, FHL2, MAPRE2, MAPRE1, MAPRE3, CRTAC1, IFT43, OIP5, MIS18A, SMARCE1, LNX1, TFPT, SOX5, CLHC1, HNRNPC, KANK2, ZFP64, USP2, NIF3L1, ROCK1, RLIM, POLR2G, PRKG1, ZNF24, AIMP2, LDB2","10152, 166, 4005, 7205, 8440, 5430, 10667, 26121, 84140, 8543, 9470, 387, 55885, 115106, 10443, 55355, 10589, 54507, 2274, 10982, 22919, 22924, 55118, 112752, 11339, 54069, 6605, 84708, 29844, 6660, 130162, 3183, 25959, 55734, 9099, 60491, 6093, 51132, 5436, 5592, 7572, 7965, 9079"
2,"NCKAP1, CYFIP1","10787, 23191"
3,"EPS8, ABL1, PIK3R2, CTNNB1, EGFR, SH2D3C, WASL, CDC25C, CBL, BAIAP2, MAPK9, STUB1, ERBB2, SRC, BAIAP2L1, WAS, KHDRBS1, FGR, RASA1, FGFR1, STAT3, CDH1, CSK, SHC1, IQGAP1, PAK1, STAP2, PRKCA, PTPN11, STAT5A, CAV2, SOCS3, FGFR4, MAP2K3, SYK, GHR, INSR, LEPR, PAK2, SH3BP5","2059, 25, 5296, 1499, 1956, 10044, 8976, 995, 867, 10458, 5601, 10273, 2064, 6714, 55971, 7454, 10657, 2268, 5921, 2260, 6774, 999, 1445, 6464, 8826, 5058, 55620, 5578, 5781, 6776, 858, 9021, 2264, 5606, 6850, 2690, 3643, 3953, 5062, 9467"
4,"VASP, PFN2","7408, 5217"
5,"CDH5, PKP4, PDZD2","1003, 8502, 23037"
6,"TOM1L1, CLTC, PDE4D, AP2B1, ARRB1, ARRB2, PTAFR, MAPK10, MAP3K5","10040, 1213, 5144, 163, 408, 409, 5724, 5602, 4217"
7,"KIF20A, RAB6A, NEK2, DCTN1, RABGAP1","10112, 5870, 4751, 1639, 23637"
8,"AURKB, CENPA, CDCA8, RANBP2, BIRC5","9212, 1058, 55143, 5903, 332"
9,"DNAL4, FHL5, CREM","10126, 9457, 1390"
10,"NOTCH2NLA, HSPA12B, SOCS1, HPCAL1, IL2RG, JAK3, THEMIS2, MATN3","388677, 116835, 8651, 3241, 3561, 3718, 9473, 4148"
11,"OPTN, EPS15, MYO6, UBC, SQSTM1, STAM2, CCNB1, TAX1BP1, FAM189A2, UBQLN1, ARRDC3, PSMC2, CUL1, PSMD4, VCP, UBA52, UBA1, RNF7, COL10A1, UBE3A, NEDD4, OTUD1, USP14, GTF2IRD1","10133, 2060, 4646, 7316, 8878, 10254, 891, 8887, 9413, 29979, 57561, 5701, 8454, 5710, 7415, 7311, 7317, 9616, 1300, 7337, 4734, 220213, 9097, 9569"
12,"TNIP1, GABARAPL1, CALCOCO2, RB1CC1, ATG7, ATG3, AHNAK2, FUNDC1, RETREG3, PHC2, KBTBD7, NBR1, BNIP3L, NSMAF, KBTBD6, TP53INP1, TBC1D5, EIF1AD","10318, 23710, 10241, 9821, 10533, 64422, 113146, 139341, 162427, 1912, 84078, 4077, 665, 8439, 89890, 94241, 9779, 84285"
13,"RAB11A, ARF6, RAB11FIP3, MYO5B, RAB25, RAB11FIP1","8766, 382, 9727, 4645, 57111, 80223"
14,"DAZAP2, AKAP9, HNRNPM, MAGED1, BAG3, TFG, RBFOX2, PITX1, SNRPC, BHLHE40, CSTF2, SPAG8, DAB1, SMAP2, FBXO7, RBM23, PJA1","9802, 10142, 4670, 9500, 9531, 10342, 23543, 5307, 6631, 8553, 1478, 26206, 1600, 64744, 25793, 55147, 64219"
15,"PCM1, CASK, WHRN, SDC2","5108, 8573, 25861, 6383"
16,"MRFAP1L1, IGF2BP3, PIH1D2, DPH3","114932, 10643, 120379, 285381"
17,"NUP62, BLOC1S6, LONRF1, CEP55, KLC3, MFAP1, STX11, KCTD9, MIPOL1, CCBE1, MBIP, CARD9, CDCA7L","23636, 26258, 91694, 55165, 147700, 4236, 8676, 54793, 145282, 147372, 51562, 64170, 55536"
18,"KRT15, GOLGA2, TSGA10, ZBTB43","3866, 2801, 80705, 23099"
19,"SDCBP, ZCCHC10, KLHL2, CUL3, SIAH1, HMGB3","6386, 54819, 11275, 8452, 6477, 3149"
20,"CEP44, SPRY2, MEOX2, PKIG, MSI2, TMEM100, ITM2A","80817, 10253, 4223, 11142, 124540, 55273, 9452"
21,"TRIM28, CBX1, CBX3, CBX5, NSL1, LRIF1, SP100","10155, 10951, 11335, 23468, 25936, 55791, 6672"
22,"NPM1, TP53, CDK7, CDKN1A, SMAD3, PPP2CA, RB1, CDK4, MYC, MDM2, SMAD1, SMAD4, EGR1, RELA, JUN, CHEK1, ATM, ATR, SMAD2, HDAC2, ZEB2, CCT5, NFKBIA","4869, 7157, 1022, 1026, 4088, 5515, 5925, 1019, 4609, 4193, 4086, 4089, 1958, 5970, 3725, 1111, 472, 545, 4087, 3066, 9839, 22948, 4792"
23,"UBE2I, TOP2A, SCEL, TOP2B, NMI, SPOP","7329, 7153, 8796, 7155, 9111, 8405"
24,"TRIM24, ESR1, NFKB1, MAPK1, MTA1, NCOA2, CREBBP, PPARG, RXRA, HMGA1, KLF5, PPARGC1A, MED1, NCOA1, NCOA6, NCOA3, KAT2B, NRIP1, NR0B1, ATAD2, RBBP4, RBBP7, NR2F1, TRIP4, NCOR2, JMJD1C, BCL11A, DNTTIP2, NR2F2, NCOA4, ZNHIT3","8805, 2099, 4790, 5594, 9112, 10499, 1387, 5468, 6256, 3159, 688, 10891, 5469, 8648, 23054, 8202, 8850, 8204, 190, 29028, 5928, 5931, 7025, 9325, 9612, 221037, 53335, 30836, 7026, 8031, 9326"
25,"CDK2, DBF4, MCM2, MCM3, MCM4, ORC1, ORC2, RPA1, CDT1, CDC7, CCNA1, CDC6, MCM7, CDC45, ORC6, MCM6, ORC5, MCM5, ORC4, ASF1A, MCM10, CDC5L, RPA3, RPS4X","1017, 10926, 4171, 4172, 4173, 4998, 4999, 6117, 81620, 8317, 8900, 990, 4176, 8318, 23594, 4175, 5001, 4174, 5000, 25842, 55388, 988, 6119, 6191"
26,"CDKN1B, CKS2, SKP2, CCNA2, CCNB2, CDK1, RGCC","1027, 1164, 6502, 890, 9133, 983, 28984"
27,"CEBPA, TRIB1, CEBPB, ATF4, CEBPD, CEBPG, SMARCA2, ATF3, FOS","1050, 10221, 1051, 468, 1052, 1054, 6595, 467, 2353"
28,"CKS1B, PSMD9","1163, 5715"
29,"SKP1","6500"
30,"BRCA1","672"
31,"CDC25B, MELK","994, 9833"
32,"HSP90AA1, EIF2AK1","3320, 27102"
33,"HOOK1, TBC1D7, AKTIP, HOOK3","51361, 51256, 64400, 84376"
34,"CCND3, CRABP2","896, 1382"
35,"CALCRL, RAMP2, RAMP3","10203, 10266, 10268"
36,"PPP1R18, DES, NEFL, SYNC","170954, 1674, 4747, 81493"
37,"SH3KBP1, SH3GL2, SH3GL3, RPL35A, ATXN2, RAPH1","30011, 6456, 6457, 6165, 6311, 65059"
38,"AQP1","358"
39,"RUNX1T1, FXYD6, CREB3L1","862, 53826, 90993"
40,"HDAC1","3065"
41,"TCF4, TCF3, TAL1","6925, 6929, 6886"
42,"CASP3, XIAP","836, 331"
43,"SF3B4, SRSF6, RNPS1, SDCBP2, SRSF1, SRSF3, SRPK1, U2AF1, SREK1, SNRNP70, PRPF38A, DHX8, SAFB, LBR, ARL6IP4, LUC7L","10262, 6431, 10921, 27111, 6426, 6428, 6732, 7307, 140890, 6625, 84950, 1659, 6294, 3930, 51329, 55692"
44,"COPS5","10987"
45,"YWHAB, KCNK3","7529, 3777"
46,"RUSC1, RBPMS, TIE1","23623, 11030, 7075"
47,"RAF1, PEBP4","5894, 157310"
48,"ATXN1, TENT5B, ESRP1","6310, 115572, 54845"
49,"STAG1, RAD21, SMC1A","10274, 5885, 8243"
50,"NET1, DLG1","10276, 1739"
51,"LILRB2, HLA-B, HLA-G, STAT1","10288, 3106, 3135, 6772"
52,"NDC80","10403"
53,"IKZF1, CTBP1, CTBP2, FLI1, ZNF750","10320, 1487, 1488, 2313, 79755"
54,"KLF2, WWP1","10365, 11059"
55,"CITED2, TFAP2A, GSTO2, KCTD15, YBX1","10370, 7020, 119391, 79047, 4904"
56,"CORO2B, APPBP2","10391, 10513"
57,"DLC1, WWC1, TNS2","10395, 23286, 23371"
58,"RACK1, PTPRM, CTNND1","10399, 5797, 1500"
59,"ADRB2, PRKCB, ADCY3, CSE1L, RAN, SLC9A3R1, GRK2, GNAS, GNB1, GNG2, VDAC2, GNAI3, GNG11, GNAI1, GNB4","154, 5579, 109, 1434, 5901, 9368, 156, 2778, 2782, 54331, 7417, 2773, 2791, 2770, 59345"
60,"DYNLL1","8655"
61,"KNL1, PPP1CC, PLK1, ANAPC11, PTTG1, CDC20, CDC27, PPP1CA, FBXO5, UBE2S, ANAPC4, CDC16, BUB1, BUB1B, KIF18A, BUB3","57082, 5501, 5347, 51529, 9232, 991, 996, 5499, 26271, 27338, 29945, 8881, 699, 701, 81930, 9184"
62,"CENPH, NUF2, CENPE, EXOC1","64946, 83540, 1062, 55763"
63,"CKAP5, MEMO1, TACC1, LSM7, THAP12, SNRPG","9793, 51072, 6867, 51690, 5612, 6637"
64,"YAP1, PTPN21, KIF1C","10413, 11099, 10749"
65,"TFCP2, E2F8","7024, 79733"
66,"RAC1, ARHGAP31","5879, 57514"
67,"CDC42, PAK6, RHOJ, TRIP10, ARHGAP44","998, 56924, 57381, 9322, 9912"
68,"CAP2, CFL2, ACTB, ACTG1, CFL1, DSTN, POT1","10486, 1073, 60, 71, 1072, 11034, 25913"
69,"NOLC1, APP, KIF2C, CRYAB, FLNA, FILIP1, SULF1, PIK3R5, PIK3CG, STXBP1, CDCA7","9221, 351, 11004, 1410, 2316, 27145, 23213, 23533, 5294, 6812, 83879"
70,"UBD, MAD2L1, SGO2","10537, 4085, 151246"
71,"AGTRAP, ALDH18A1","57085, 5832"
72,"TRIM27, FAM83A","5987, 84985"
