clusterID,geneIDs,Pathways,Description,P-value
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,0.0010856263016428812
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-9664407,Parasite infection,0.001312590176266052
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-9664417,Leishmania phagocytosis,0.001312590176266052
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-9664422,FCGR3A-mediated phagocytosis,0.001312590176266052
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-2424491,DAP12 signaling,0.01656938011961286
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-9658195,Leishmania infection,0.017168871506806
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,0.018938026881805948
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.019743543730143105
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-2172127,DAP12 interactions,0.019881941638466783
0,"ABI1, GRB2, FYN, BTK, ACAP1",R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,0.04343730319390282
6,"TOM1L1, CLTC, PDE4D, AP2B1, ARRB1, ARRB2, PTAFR, MAPK10, MAP3K5",R-HSA-5099900,WNT5A-dependent internalization of FZD4,0.0003014848968692531
6,"TOM1L1, CLTC, PDE4D, AP2B1, ARRB1, ARRB2, PTAFR, MAPK10, MAP3K5",R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,0.0007171924513292663
6,"TOM1L1, CLTC, PDE4D, AP2B1, ARRB1, ARRB2, PTAFR, MAPK10, MAP3K5",R-HSA-8856828,Clathrin-mediated endocytosis,0.0016516096640768671
6,"TOM1L1, CLTC, PDE4D, AP2B1, ARRB1, ARRB2, PTAFR, MAPK10, MAP3K5",R-HSA-177504,Retrograde neurotrophin signalling,0.015441783722655322
