iter	Passed	Remaining
0	47	14277
1	95	14251
2	140	13926
3	184	13637
4	231	13639
5	277	13620
6	322	13513
7	341	12472
8	385	12461
9	425	12329
10	468	12314
11	514	12349
12	560	12371
13	604	12349
14	649	12346
15	695	12341
16	740	12321
17	786	12322
18	831	12303
19	878	12303
20	927	12322
21	974	12317
22	1021	12303
23	1069	12297
24	1116	12277
25	1146	12080
26	1194	12075
27	1239	12041
28	1285	12009
29	1332	11992
30	1377	11951
31	1425	11940
32	1472	11913
33	1518	11879
34	1566	11858
35	1612	11822
36	1662	11816
37	1708	11777
38	1757	11763
39	1804	11731
40	1852	11700
41	1899	11668
42	1946	11633
43	1994	11602
44	2041	11567
45	2086	11518
46	2132	11481
47	2180	11446
48	2226	11404
49	2272	11361
50	2322	11338
51	2372	11313
52	2422	11289
53	2471	11260
54	2517	11216
55	2563	11170
56	2609	11123
57	2653	11070
58	2700	11029
59	2747	10990
60	2793	10943
61	2839	10900
62	2888	10864
63	2936	10827
64	2982	10782
65	3027	10734
66	3073	10689
67	3119	10644
68	3165	10598
69	3213	10557
70	3264	10527
71	3311	10487
72	3356	10438
73	3402	10391
74	3446	10339
75	3492	10292
76	3537	10244
77	3584	10202
78	3633	10165
79	3681	10125
80	3727	10079
81	3777	10041
82	3825	10000
83	3870	9952
84	3916	9906
85	3961	9857
86	4009	9817
87	4057	9775
88	4105	9733
89	4154	9693
90	4201	9650
91	4249	9606
92	4295	9562
93	4343	9517
94	4389	9472
95	4436	9428
96	4483	9382
97	4529	9335
98	4575	9289
99	4622	9245
100	4667	9196
101	4713	9148
102	4758	9101
103	4805	9057
104	4850	9008
105	4899	8967
106	4945	8921
107	4993	8877
108	5040	8832
109	5086	8785
110	5132	8739
111	5179	8694
112	5224	8646
113	5274	8606
114	5323	8563
115	5376	8528
116	5426	8487
117	5473	8441
118	5520	8396
119	5570	8356
120	5616	8309
121	5665	8265
122	5713	8222
123	5759	8175
124	5806	8129
125	5853	8083
126	5899	8036
127	5946	7990
128	5992	7943
129	6041	7899
130	6089	7855
131	6135	7808
132	6182	7763
133	6227	7715
134	6275	7669
135	6323	7625
136	6370	7579
137	6417	7533
138	6464	7487
139	6513	7444
140	6562	7400
141	6609	7354
142	6656	7308
143	6701	7260
144	6747	7213
145	6794	7166
146	6840	7119
147	6887	7073
148	6935	7028
149	6984	6984
150	7034	6941
151	7082	6896
152	7132	6852
153	7180	6807
154	7228	6762
155	7274	6715
156	7321	6668
157	7372	6626
158	7421	6581
159	7468	6534
160	7512	6486
161	7557	6438
162	7605	6392
163	7653	6347
164	7699	6299
165	7744	6251
166	7789	6203
167	7835	6156
168	7881	6109
169	7931	6064
170	7981	6021
171	8029	5975
172	8075	5928
173	8123	5882
174	8170	5836
175	8220	5792
176	8270	5747
177	8317	5700
178	8363	5653
179	8412	5608
180	8459	5561
181	8506	5515
182	8553	5468
183	8599	5421
184	8648	5375
185	8696	5330
186	8743	5283
187	8793	5238
188	8842	5192
189	8888	5146
190	8936	5099
191	8983	5053
192	9031	5007
193	9079	4961
194	9129	4915
195	9178	4870
196	9225	4823
197	9272	4776
198	9322	4731
199	9369	4684
200	9416	4637
201	9463	4591
202	9511	4544
203	9556	4497
204	9603	4450
205	9650	4403
206	9696	4356
207	9744	4310
208	9791	4263
209	9837	4216
210	9885	4169
211	9936	4124
212	9984	4078
213	10032	4031
214	10083	3986
215	10133	3940
216	10180	3893
217	10226	3846
218	10273	3799
219	10319	3752
220	10369	3706
221	10417	3660
222	10464	3613
223	10512	3566
224	10557	3519
225	10606	3472
226	10653	3425
227	10701	3379
228	10749	3332
229	10795	3285
230	10843	3239
231	10889	3191
232	10935	3144
233	10983	3097
234	11029	3050
235	11078	3004
236	11127	2958
237	11175	2911
238	11223	2864
239	11270	2817
240	11320	2771
241	11368	2724
242	11417	2678
243	11466	2631
244	11512	2584
245	11559	2537
246	11605	2490
247	11654	2443
248	11701	2396
249	11750	2350
250	11797	2303
251	11845	2256
252	11893	2209
253	11940	2162
254	11990	2115
255	12040	2069
256	12093	2023
257	12144	1976
258	12195	1930
259	12245	1883
260	12294	1837
261	12343	1790
262	12390	1743
263	12437	1696
264	12485	1648
265	12532	1601
266	12579	1554
267	12627	1507
268	12674	1460
269	12719	1413
270	12764	1365
271	12813	1319
272	12862	1272
273	12911	1225
274	12959	1178
275	13008	1131
276	13059	1084
277	13107	1037
278	13155	990
279	13201	942
280	13250	895
281	13297	848
282	13343	801
283	13392	754
284	13443	707
285	13490	660
286	13536	613
287	13584	566
288	13632	518
289	13678	471
290	13726	424
291	13773	377
292	13820	330
293	13867	283
294	13913	235
295	13958	188
296	14007	141
297	14055	94
298	14102	47
299	14148	0
